persian_symbol,counts
آبادا,31
آسيا,616
آپ,619
اخابر,564
افق,349
افقح,35
اكالا,16
البرز,628
اميد,612
اميدح,128
امين,20
انرژي1,6
انرژي3,26
بالبر,629
بترانس,621
بركت,608
بركتح,76
بسويچ,553
بسويچح,40
بشهاب,613
بفجر,614
بكاب,616
بكام,541
بموتو,619
بنيرو,628
بورس,555
تاصيكو,314
تاصيكوح,21
تايرا,613
تايراح,42
تاپيكو,614
تاپيكوح,16
تكالا,22
تكشا,618
تكشاح,39
تكمبا,628
تكنو,597
تمحركه,598
تملت,112
تنوين,338
تيپيكو,622
تپمپي,608
ثاباد,629
ثاخت,616
ثاختح,35
ثامان,606
ثاژن,244
ثبهساز,18
ثشاهد,619
ثشاهدح,42
ثشرق,621
ثشرقح,18
ثفارس,608
ثفارسح,47
ثمسكن,626
ثنوسا,583
جم,607
جم پيلن,288
جمح,43
حتايد,591
حتوكا,622
حفارس,555
حفاري,605
حفاريح,76
حكشتي,623
حكشتيح,55
حپترو,624
خاذين,624
خاذينح,39
خاهن,610
خاهنح,67
خاور,122
خبهمن,627
ختراك,618
ختراكح,39
ختور,617
ختورح,30
ختوقا,603
ختوقاح,35
خراسان,364
خريخت,587
خريختح,57
خرينگ,623
خزاميا,617
خزر,610
خزرح,52
خساپا,587
خشرق,622
خشرقح,71
خفنر,571
خفنرح,41
خكار,607
خكاوه,101
خكمك,618
خلنت,618
خمحركه,601
خمحور,623
خمهر,626
خموتور,615
خموتورح,87
خنصير,607
خنصيرح,49
خودرو,582
خوساز,586
خپارس,624
خپويش,530
خچرخش,631
خگستر,593
خگسترح,51
دابور,587
دابورح,75
دارو,611
داسوه,594
داسوهح,53
دالبر,613
دامين,619
دانا,604
دتماد,588
دتمادح,1
دجابر,608
دجابرح,57
ددام,578
درازك,612
درازكح,9
دروز,578
دزهراوي,578
دسبحا,620
دسبحاح,72
دسبحان,611
دسبحانح,64
دسينا,620
دسيناح,23
دشيمي,608
دعبيد,583
دعبيدح,79
دفارا,594
دفاراح,53
دفرا,601
دفراح,31
دكوثر,621
دكيمي,621
دكيميح,31
دلر,632
دلقما,586
دلقماح,44
ديران,607
ديرانح,70
دپارس,616
رانفور,632
رتاپ,622
رتاپح,43
رتكو,600
ركيش,619
ركيشح,49
رمپنا,554
زكوثر,114
زمگسا,616
زمگساح,40
زپارس,429
ساراب,630
ساربيل,519
ساروم,623
سبجنو,590
سبهان,592
سبهانح,62
ستران,596
سخاش,544
سخزر,537
سخزرح,66
سخوز,619
سخوزح,80
سدشت,520
سدور,629
سرود,625
سشرق,621
سشمال,616
سصفها,565
سصوفي,613
سصوفيح,70
سغرب,618
سفار,458
سفارس,624
سفانو,556
سفانوح,51
سقاين,593
سقاينح,41
سكرد,610
سكردح,77
سكرما,623
سمازن,528
سمازنح,46
سنير,476
سهرمز,538
سهرمزح,42
سهگمت,616
سيتا,41
سيدكو,635
سيدكوح,1
سيستم,625
سيلام,586
سيمرغ,290
سپ,525
سپاها,624
سپاهاح,9
شاراك,635
شاملا,604
شاملاح,40
شبريز,618
شبندر,614
شبهرن,599
شبهرنح,31
شتران,613
شخارك,593
شدوص,594
شسينا,624
شسپا,559
شفا,582
شفارا,118
شفارس,630
شفن,613
شكربن,626
شكلر,617
شكلرح,39
شلعاب,607
شلعابح,41
شنفت,569
شنفتح,86
شوينده,610
شيراز,623
شيران,620
شپارس,612
شپارسح,9
شپاكسا,622
شپترو,336
شپديس,634
شپنا,618
شگل,621
غاذر,610
غالبر,579
غالبرح,34
غبشهر,618
غبهنوش,625
غدام,518
غدشت,428
غزر,23
غسالم,566
غشاذر,617
غشاذرح,46
غشان,612
غشصفا,591
غشهد,506
غمارگ,599
غمهرا,552
غنوش,210
غپاك,603
غپينو,598
غچين,522
غگرجي,540
غگرجيح,45
غگل,592
غگلح,10
فاذر,442
فاراك,628
فارس,619
فاسمين,629
فاما,593
فايرا,617
فباهنر,609
فجام,543
فجر,537
فخاس,613
فخاسح,42
فخوز,628
فرآور,605
فروس,618
فسازان,241
فسرب,628
فسپا,618
فلامي,566
فلوله,592
فمراد,607
فملي,619
فمليح,3
فنوال,621
فنورد,579
فولاد,621
فولاژ,617
فولاژح,45
فپنتا,618
قثابت,510
قرن,126
قزوين,622
قشرين,186
قشكر,617
قشهد,595
قصفها,628
قلرست,614
قمرو,625
قنقش,100
قنيشا,605
قهكمت,620
قپيرا,603
كاذر,617
كاذرح,62
كالا,333
كاما,624
كاماح,37
كاوه,617
كاوهح,93
كبافق,502
كبورس,51
كترام,624
كحافظ,449
كخاك,615
كخاكح,65
كدما,591
كدماح,18
كرازي,617
كرازيح,7
كرماشا,633
كروي,625
كساوه,602
كساپا,632
كسرا,603
كسرام,609
كسعدي,600
كطبس,621
كطبسح,25
كفرا,613
كفراح,40
كفپارس,510
كلوند,625
كماسه,557
كمنگنز,626
كنور,625
كهرام,199
كهمدا,626
كهمداح,41
كوير,204
كويرح,20
كپارس,599
كپارسح,32
كپشير,623
كپشيرح,6
كچاد,616
كگاز,609
كگل,609
كگلح,133
لابسا,620
لبوتان,627
لخزر,608
لسرما,605
لوتوس,367
لوتوسح,80
لپارس,607
ما,618
ماح,10
مبين,617
مداران,631
مرقام,617
ملت,601
نبروج,142
نبورس,27
نكالا,3
نمرينو,536
نمرينوح,4
نوري,266
هاي وب,452
همراه,618
همراهح,51
وآذر,535
وآذرح,44
واتي,626
واعتبار,585
والبر,609
والبرح,115
واميد,596
وانصار,130
وايران,617
وبانك,630
وبشهر,626
وبصادر,548
وبملت,517
وبهمن,623
وبوعلي,618
وبيمه,578
وبيمهح,48
وتجارت,544
وتوس,594
وتوسح,62
وتوسم,629
وتوشه,627
وتوصا,614
وتوكا,608
وتوكاح,7
وخارزم,610
وخاور,622
ورنا,619
ورناح,49
وساخت,592
وساپا,623
وسخراج,17
وسكاب,625
وسكابح,46
وسينا,617
وسپه,630
وسپهح,17
وصنا,631
وصناح,10
وصندوق,627
وصنعت,615
وغدير,636
وكار,604
ولساپا,624
ولساپاح,45
ولصنم,620
ولغدر,624
ولملت,618
وليز,574
ولپارس,43
ومعادن,601
ومعادنح,99
وملت,48
وملي,503
ونفت,629
ونوين,598
ونيرو,527
ونيروح,175
ونيكي,622
وپارس,540
وپاسار,389
وپترو,624
وپخش,617
وپست,614
پارس,507
پارسان,628
پارسيان,623
پارسيانح,47
پاسا,621
پاساح,48
پاكشو,623
پاكشوح,41
پتاير,620
پترول,582
پترولح,17
پدرخش,618
پرداخت,625
پرداختح,55
پرديس,611
پرديسح,11
پسهند,626
پكرمان,620
پكوير,616
پكويرح,34
پلاسك,631
